,D1_lag1,None_lag1,T2M_lag2,PREC_roll12_std,RH2M,RH2M_lag2,RH2M_lag8,PREC_roll4_std,T2M_roll12_mean,PRECTOTCORR,RH2M_lag4,ALLSKY_SFC_SW_DWN,PREC_lag2,RH2M_lag1,PREC_lag1,PREC_roll4_mean,PREC_roll12_mean,WS2M,PREC_lag4,PREC_lag8
D1_lag1,1.0,0.7171305663907264,0.012777603051036633,0.26356926741067954,0.30246373085905787,0.37268902927812436,0.3602363241721308,0.11116217206220723,0.037793609004154446,0.02030742031420076,0.3831715256347242,0.06053629772721935,0.09540869234784871,0.3341916914904623,0.04330718819213378,0.1440228909633367,0.2726831577445523,0.04984534872778271,0.13443963893661098,0.16700679242377156
None_lag1,0.7171305663907264,1.0,0.12463304661048358,0.390297584468528,0.26266703779132866,0.3512175331541224,0.3303328708075111,0.20810001670333958,0.15857626489097734,0.06336028122239953,0.3836331344159032,0.06135473582104958,0.16695585891539233,0.30086965998263804,0.09215466147931198,0.25727275906232494,0.41847671970815314,0.10963509537458142,0.23839523855798359,0.24527391947875193
T2M_lag2,0.012777603051036633,0.12463304661048358,1.0,0.4396141554800902,0.31829890290517726,0.35137609267320785,0.20563181048532497,0.40090190802757625,0.8251087734991948,0.38397746618688344,0.2948280494921866,0.7170062611574464,0.3879154798800429,0.3434331698709512,0.4004182019939749,0.5896468153003306,0.718249131971165,0.2971122425082356,0.43723625373318464,0.38933496280753715
PREC_roll12_std,0.26356926741067954,0.390297584468528,0.4396141554800902,1.0,0.25036681105060754,0.2741286179537127,0.07533438665953043,0.6402691298106495,0.510852399422016,0.24661965612326334,0.20293934043981374,0.2490060851484955,0.42545144631344556,0.29254553114742404,0.3974490749311222,0.6264553002902569,0.8350090487575602,0.3212503111847108,0.4515224676892733,0.4681365660425944
RH2M,0.30246373085905787,0.26266703779132866,0.31829890290517726,0.25036681105060754,1.0,0.5157173210452797,0.3072843789110983,0.16872749941795423,0.2362302289337867,0.35003149204967143,0.4473521609492279,0.4451916203898308,0.09664106237758358,0.6636066446296961,0.20797587156145755,0.156863196096564,0.09967178052394923,0.17967099106151266,0.04732152396479761,0.027116614524464514
RH2M_lag2,0.37268902927812436,0.3512175331541224,0.35137609267320785,0.2741286179537127,0.5157173210452797,1.0,0.35224465212192724,0.2361646075893192,0.2894325922162423,0.0377111014540182,0.5159767496416628,0.2157790454540596,0.3474303945293614,0.6639003051782564,0.0020228307903377876,0.23866421567246873,0.15081356343404692,0.023277734545817403,0.09859032118245345,0.03891656595775022
RH2M_lag8,0.3602363241721308,0.3303328708075111,0.20563181048532497,0.07533438665953043,0.3072843789110983,0.35224465212192724,1.0,0.07657025916175846,0.33474873577433434,0.0298602539727938,0.4539732425800867,0.04402379511328379,0.05926293683979613,0.342986802874907,0.012638457341216764,0.07017366874309264,0.060926896392829825,0.10706045268981015,0.06876679577230135,0.3336190911940158
PREC_roll4_std,0.11116217206220723,0.20810001670333958,0.40090190802757625,0.6402691298106495,0.16872749941795423,0.2361646075893192,0.07657025916175846,1.0,0.36074743387733477,0.2722516714582957,0.07370524609455198,0.3379991535071953,0.5327569781011194,0.2679660706190594,0.5225541919251905,0.7738528093929007,0.5957413339652244,0.1665975616840361,0.5330952396741823,0.25573887599015144
T2M_roll12_mean,0.037793609004154446,0.15857626489097734,0.8251087734991948,0.510852399422016,0.2362302289337867,0.2894325922162423,0.33474873577433434,0.36074743387733477,1.0,0.21987278628975707,0.3243614413052153,0.341560605192812,0.307677845062519,0.2670312880202125,0.2639147219658839,0.4694949892362294,0.7453861173632199,0.3900625824271084,0.3744202186265041,0.44248426798978346
PRECTOTCORR,0.02030742031420076,0.06336028122239953,0.38397746618688344,0.24661965612326334,0.35003149204967143,0.0377111014540182,0.0298602539727938,0.2722516714582957,0.21987278628975707,1.0,0.06347938322827014,0.22316992839061275,0.28326574669202614,0.0005196958997252951,0.32607948857607477,0.3720408516024629,0.2927898430617091,0.07294652481858668,0.19451793100365652,0.11344878366274985
RH2M_lag4,0.3831715256347242,0.3836331344159032,0.2948280494921866,0.20293934043981374,0.4473521609492279,0.5159767496416628,0.4539732425800867,0.07370524609455198,0.3243614413052153,0.06347938322827014,1.0,0.1856460551450738,0.04162103981726464,0.44861526940189195,0.08790645448330349,0.07843088994456364,0.11999567104066072,0.04231278907472527,0.34663458380479406,0.043783335772869456
ALLSKY_SFC_SW_DWN,0.06053629772721935,0.06135473582104958,0.7170062611574464,0.2490060851484955,0.4451916203898308,0.2157790454540596,0.04402379511328379,0.3379991535071953,0.341560605192812,0.22316992839061275,0.1856460551450738,1.0,0.4100816015493618,0.2561718034479253,0.3985764392952309,0.5550763065588046,0.46293444064965944,0.09508375815941654,0.3453302323885917,0.21418047128678047
PREC_lag2,0.09540869234784871,0.16695585891539233,0.3879154798800429,0.42545144631344556,0.09664106237758358,0.3474303945293614,0.05926293683979613,0.5327569781011194,0.307677845062519,0.28326574669202614,0.04162103981726464,0.4100816015493618,1.0,0.20464916564458482,0.3282351759960412,0.7074907557790319,0.49723833823301256,0.14478803910667418,0.2842911396130015,0.14730982956348612
RH2M_lag1,0.3341916914904623,0.30086965998263804,0.3434331698709512,0.29254553114742404,0.6636066446296961,0.6639003051782564,0.342986802874907,0.2679660706190594,0.2670312880202125,0.0005196958997252951,0.44861526940189195,0.2561718034479253,0.20464916564458482,1.0,0.3506920382767733,0.2661277373004616,0.15355664007292605,0.049698307130384006,0.07845142112894728,0.050839748585954976
PREC_lag1,0.04330718819213378,0.09215466147931198,0.4004182019939749,0.3974490749311222,0.20797587156145755,0.0020228307903377876,0.012638457341216764,0.5225541919251905,0.2639147219658839,0.32607948857607477,0.08790645448330349,0.3985764392952309,0.3282351759960412,0.3506920382767733,1.0,0.6655064137682313,0.4479174176245823,0.18266375979915528,0.21718197729859082,0.21235409919817544
PREC_roll4_mean,0.1440228909633367,0.25727275906232494,0.5896468153003306,0.6264553002902569,0.156863196096564,0.23866421567246873,0.07017366874309264,0.7738528093929007,0.4694949892362294,0.3720408516024629,0.07843088994456364,0.5550763065588046,0.7074907557790319,0.2661277373004616,0.6655064137682313,1.0,0.739447128467925,0.2352244243806753,0.6666104581600549,0.26330708703307487
