rank,feature,mutual_information_score
1,D1_lag1,0.6330219178163861
2,None_lag1,0.6074841377933058
3,D0_lag1,0.6061512333945498
4,D1_lag2,0.5510988172952416
5,T2M_lag2,0.5463461349725935
6,PREC_roll12_std,0.5463410430531115
7,RH2M,0.545473431361722
8,RH2M_lag2,0.544740317180771
9,RH2M_lag8,0.5445141352032181
10,T2M_lag4,0.5436983690481163
11,PREC_roll4_std,0.5436297440090656
12,T2M_roll4_mean,0.5434484758029321
13,T2M,0.5426022981110832
14,T2M_roll12_mean,0.5424518228296011
15,PRECTOTCORR,0.5415593599007664
16,RH2M_lag4,0.5406667241375118
17,ALLSKY_SFC_SW_DWN,0.5406426557642081
18,T2M_lag1,0.5400761425893053
19,PREC_lag2,0.5383833294049571
20,RH2M_lag1,0.5382653457370552
21,PREC_lag1,0.5381489632547254
22,PREC_roll4_mean,0.538054939057899
23,PREC_roll12_mean,0.5356127775659809
24,WS2M,0.5331850356991716
25,T2M_lag8,0.5322928474601012
26,PREC_lag4,0.5277041847503869
27,PREC_lag8,0.5275973141862553
28,PS,0.5271943639969598
29,None_lag2,0.5255992681187509
30,D0_lag2,0.5146609839497294
31,D2_lag1,0.5116906662320952
32,D2_lag2,0.469836665901294
33,D3_lag1,0.33533789171494144
34,D3_lag2,0.3313812835936498
35,D4_lag2,0.13542206222003905
36,D4_lag1,0.13530366010557504
37,week_sin,0.022761938922466918
38,week_cos,0.012440685920711125
