rank,feature,mi_score,max_abs_corr_prev,max_corr_prev_feat
1,D1_lag1,0.6330219178163861,0.0,
2,None_lag1,0.6074841377933058,0.7171305663907264,D1_lag1
3,T2M_lag2,0.5463461349725935,0.12463304661048358,None_lag1
4,PREC_roll12_std,0.5463410430531115,0.4396141554800902,T2M_lag2
5,RH2M,0.545473431361722,0.31829890290517726,T2M_lag2
6,RH2M_lag2,0.544740317180771,0.5157173210452797,RH2M
7,RH2M_lag8,0.5445141352032181,0.3602363241721308,D1_lag1
8,PREC_roll4_std,0.5436297440090656,0.6402691298106495,PREC_roll12_std
9,T2M_roll12_mean,0.5424518228296011,0.8251087734991948,T2M_lag2
10,PRECTOTCORR,0.5415593599007664,0.38397746618688344,T2M_lag2
11,RH2M_lag4,0.5406667241375118,0.5159767496416628,RH2M_lag2
12,ALLSKY_SFC_SW_DWN,0.5406426557642081,0.7170062611574464,T2M_lag2
13,PREC_lag2,0.5383833294049571,0.5327569781011194,PREC_roll4_std
14,RH2M_lag1,0.5382653457370552,0.6639003051782564,RH2M_lag2
15,PREC_lag1,0.5381489632547254,0.5225541919251905,PREC_roll4_std
16,PREC_roll4_mean,0.538054939057899,0.7738528093929007,PREC_roll4_std
17,PREC_roll12_mean,0.5356127775659809,0.8350090487575602,PREC_roll12_std
18,WS2M,0.5331850356991716,0.3900625824271084,T2M_roll12_mean
19,PREC_lag4,0.5277041847503869,0.6666104581600549,PREC_roll4_mean
20,PREC_lag8,0.5275973141862553,0.5678770171320378,PREC_roll12_mean
