,ALLSKY_SFC_SW_DWN,PRECTOTCORR,PS,RH2M,T2M,WS2M,PREC_lag1,PREC_lag2,PREC_lag4,PREC_lag8,T2M_lag1,T2M_lag2,T2M_lag4,T2M_lag8,RH2M_lag1,RH2M_lag2,RH2M_lag4,RH2M_lag8,PREC_roll4_mean,PREC_roll4_std,PREC_roll12_mean,PREC_roll12_std,T2M_roll4_mean,T2M_roll12_mean,week_sin,week_cos,None_lag1,D0_lag1,D1_lag1,D2_lag1,D3_lag1,D4_lag1,None_lag2,D0_lag2,D1_lag2,D2_lag2,D3_lag2,D4_lag2,heat_dry_stress
ALLSKY_SFC_SW_DWN,1.0,0.22316992839061275,0.4152697022035035,0.4451916203898308,0.8672400634431741,0.09508375815941654,0.3985764392952309,0.4100816015493618,0.3453302323885917,0.21418047128678047,0.7790922302886194,0.7170062611574464,0.5700702370770768,0.1762064771182717,0.2561718034479253,0.2157790454540596,0.1856460551450738,0.04402379511328379,0.5550763065588046,0.3379991535071953,0.46293444064965944,0.2490060851484955,0.7019783997455336,0.341560605192812,0.07964924500998097,0.9336239927804362,0.06135473582104958,0.06135473582104958,0.06053629772721935,0.0006947488416417548,0.016344154001120815,0.03079291036955661,0.04177880370285362,0.04177880370285362,0.0631274579128875,0.0023712716557378975,0.024407639338478476,0.04127209851095248,0.8361836551621084
PRECTOTCORR,0.22316992839061275,1.0,0.3508360072618881,0.35003149204967143,0.38563271245408137,0.07294652481858668,0.32607948857607477,0.28326574669202614,0.19451793100365652,0.11344878366274985,0.4019003334338195,0.38397746618688344,0.31704043698673356,0.13321381218234654,0.0005196958997252951,0.0377111014540182,0.06347938322827014,0.0298602539727938,0.3720408516024629,0.2722516714582957,0.2927898430617091,0.24661965612326334,0.3743821029513886,0.21987278628975707,0.016871343337378438,0.46489668815578944,0.06336028122239953,0.06336028122239953,0.02030742031420076,0.04868631172594512,0.028963277312338283,0.03045552309304289,0.05519963596631939,0.05519963596631939,0.0022379303969247036,0.042723034995013974,0.026517479515376644,0.036116848739728376,0.17128718540889892
PS,0.4152697022035035,0.3508360072618881,1.0,0.08608701992195894,0.44174278869095013,0.2903325648082204,0.20720951218682374,0.14097903625838495,0.18450654286313736,0.07557467628753398,0.334700094249464,0.2751652363259172,0.18543897952118824,0.040369606334964496,0.10154607520884783,0.11597579744358302,0.061323196861006464,0.012948322985253889,0.23797661518459065,0.175198238680481,0.109018700782974,0.06189976294706332,0.2659691995769473,0.04124544545750303,0.18016587805357753,0.4351924457875128,0.04668897701542448,0.046688977015424474,0.020416756419257862,0.019095239536142426,0.012132943894655418,0.025111628682847227,0.04110944781065628,0.04110944781065628,0.01593331085673232,0.027848889092052975,0.01787969223167345,0.028503076214551927,0.3829480863033285
RH2M,0.4451916203898308,0.35003149204967143,0.08608701992195894,1.0,0.3507491850223825,0.17967099106151266,0.20797587156145755,0.09664106237758358,0.04732152396479761,0.027116614524464514,0.34185631527509497,0.31829890290517726,0.2950750627571915,0.1781587833652224,0.6636066446296961,0.5157173210452797,0.4473521609492279,0.3072843789110983,0.156863196096564,0.16872749941795423,0.09967178052394923,0.25036681105060754,0.3275357892204731,0.2362302289337867,0.08635351965741309,0.27367716817801735,0.26266703779132866,0.26266703779132866,0.30246373085905787,0.26107764520376814,0.18519794007232476,0.12004617018310366,0.24780195516873443,0.24780195516873443,0.2808698305536159,0.2372593553034648,0.15731997829140335,0.10578388422088328,0.6095009341655323
T2M,0.8672400634431741,0.38563271245408137,0.44174278869095013,0.3507491850223825,1.0,0.22280007094596277,0.3910203249711508,0.4387166481520145,0.42002515524052825,0.34625015200207665,0.9405791160673781,0.903946662623636,0.8171753486618626,0.517530462067035,0.3182681954168511,0.29060060005015875,0.26450441122936774,0.15442584140006999,0.6101158994265353,0.3960877913636781,0.6512685097641373,0.3824930880060491,0.9113795801707616,0.6702150974601587,0.29913506500934517,0.9041604361306993,0.1137337555917092,0.1137337555917092,0.030100516022048763,0.0016826506091061758,0.005446652201936563,0.002399122664467355,0.09828097871502632,0.09828097871502632,0.041491988339333465,0.004917922829333571,0.003767633779282922,0.008671120943775545,0.9255991555027814
WS2M,0.09508375815941654,0.07294652481858668,0.2903325648082204,0.17967099106151266,0.22280007094596277,1.0,0.18266375979915528,0.14478803910667418,0.14110719122508553,0.21007458720780722,0.26348574154588394,0.2971122425082356,0.34308620305367776,0.38035915833768547,0.049698307130384006,0.023277734545817403,0.04231278907472527,0.10706045268981015,0.2352244243806753,0.1665975616840361,0.38783944085533173,0.3212503111847108,0.3183602753813511,0.3900625824271084,0.3746156752309586,0.1619623909940662,0.10963509537458142,0.10963509537458142,0.04984534872778271,0.0004717294998779771,0.027437301195727595,0.046626140702507826,0.10789715458834621,0.10789715458834621,0.0422567212419226,0.0040551949239337375,0.029081865866090763,0.04338199903280884,0.15782279480958256
PREC_lag1,0.3985764392952309,0.32607948857607477,0.20720951218682374,0.20797587156145755,0.3910203249711508,0.18266375979915528,1.0,0.3282351759960412,0.21718197729859082,0.21235409919817544,0.3840959246691606,0.4004182019939749,0.3453256612406859,0.20088877732431623,0.3506920382767733,0.0020228307903377876,0.08790645448330349,0.012638457341216764,0.6655064137682313,0.5225541919251905,0.4479174176245823,0.3974490749311222,0.3904893206778977,0.2639147219658839,0.07211868168632914,0.4576847636241627,0.09215466147931198,0.09215466147931198,0.04330718819213378,0.06470197061426769,0.03363053685494759,0.029064576652413986,0.06370090853847846,0.06370090853847846,0.020873501471550752,0.04945417755267381,0.029459643310323295,0.030739864697106153,0.22969570713627618
PREC_lag2,0.4100816015493618,0.28326574669202614,0.14097903625838495,0.09664106237758358,0.4387166481520145,0.14478803910667418,0.3282351759960412,1.0,0.2842911396130015,0.14730982956348612,0.3951928062297537,0.3879154798800429,0.3871346470401009,0.25076036123904993,0.20464916564458482,0.3474303945293614,0.04162103981726464,0.05926293683979613,0.7074907557790319,0.5327569781011194,0.49723833823301256,0.42545144631344556,0.4066415937751048,0.307677845062519,0.12929143437990834,0.4495367514264076,0.16695585891539233,0.16695585891539233,0.09540869234784871,0.0916940033250103,0.06107757938637066,0.038621778487336306,0.0897332816222614,0.08973328162226141,0.041340848420788924,0.0629539939221615,0.032495222214787844,0.028440589060478486,0.30280172833001723
PREC_lag4,0.3453302323885917,0.19451793100365652,0.18450654286313736,0.04732152396479761,0.42002515524052825,0.14110719122508553,0.21718197729859082,0.2842911396130015,1.0,0.19451019496384758,0.42579599133165813,0.43723625373318464,0.3863864689729345,0.3185492932571363,0.07845142112894728,0.09859032118245345,0.34663458380479406,0.06876679577230135,0.6666104581600549,0.5330952396741823,0.5539291533112864,0.4515224676892733,0.42428493059201766,0.3744202186265041,0.23383656418627027,0.402838960506532,0.23839523855798359,0.23839523855798359,0.13443963893661098,0.10585543257381762,0.08008334868916435,0.0402967359171652,0.20870489273963014,0.20870489273963014,0.1224152510131365,0.09895928316639083,0.0679580785658686,0.036197745506535255,0.31852729567234594
PREC_lag8,0.21418047128678047,0.11344878366274985,0.07557467628753398,0.027116614524464514,0.34625015200207665,0.21007458720780722,0.21235409919817544,0.14730982956348612,0.19451019496384758,1.0,0.37902337486956494,0.38933496280753715,0.42157074170262754,0.3886747370188301,0.050839748585954976,0.03891656595775022,0.043783335772869456,0.3336190911940158,0.26330708703307487,0.25573887599015144,0.5678770171320378,0.4681365660425944,0.40865116601872803,0.44248426798978346,0.39885605810771957,0.24467368509049559,0.24527391947875193,0.24527391947875193,0.16700679242377156,0.12918467477770101,0.07622988926374287,0.04533521141334329,0.25602331537170986,0.25602331537170986,0.16331090601856924,0.12374275110082107,0.0775860224772888,0.04647663869959334,0.27569135653272653
