rank,feature,mutual_information_score
1,D1_lag1,0.6355893988082439
2,None_lag1,0.6075878492067848
3,D0_lag1,0.6008425586622161
4,RH2M,0.5510268860491252
5,D1_lag2,0.5499891999009727
6,PREC_roll12_std,0.5479307990206559
7,T2M,0.546824806274675
8,heat_dry_stress,0.5456398807196983
9,T2M_lag4,0.5419364357880005
10,T2M_roll4_mean,0.5413055868228243
11,RH2M_lag4,0.5411923034529573
12,PREC_roll4_mean,0.5408498852230876
13,T2M_lag2,0.5405340041717388
14,RH2M_lag2,0.5399362884673926
15,PRECTOTCORR,0.5399012160242787
16,RH2M_lag8,0.5398239337997348
17,PREC_lag2,0.5393222843559835
18,RH2M_lag1,0.5389324886162061
19,PREC_roll4_std,0.5388616281553333
20,T2M_lag1,0.5386426747247837
21,PREC_roll12_mean,0.537214438761344
22,T2M_roll12_mean,0.5366034424415635
23,ALLSKY_SFC_SW_DWN,0.536182594440775
24,PREC_lag8,0.5349787711542084
25,PREC_lag4,0.5348035932430741
26,WS2M,0.5329697989310269
27,PREC_lag1,0.5299696892854984
28,T2M_lag8,0.5293931294136396
29,PS,0.5249051008428267
30,None_lag2,0.5169938891335175
31,D0_lag2,0.5154313235421233
32,D2_lag1,0.5119064829430544
33,D2_lag2,0.4785686443192161
34,D3_lag1,0.33560950520608923
35,D3_lag2,0.3136785134791391
36,D4_lag1,0.14627439296881395
37,D4_lag2,0.1299882057292927
38,week_sin,0.019259750465397296
39,week_cos,0.015499656085613989
