feature_dropped,feature_kept,abs_correlation
D0_lag1,None_lag1,1.0
D1_lag2,D1_lag1,0.9505659716566208
heat_dry_stress,T2M,0.9255991555027814
T2M_roll4_mean,T2M,0.9113795801707616
T2M_lag2,T2M,0.903946662623636
T2M_lag1,T2M,0.9405791160673781
T2M_roll12_mean,T2M_lag4,0.923687757284375
None_lag2,None_lag1,0.9246991776759361
D0_lag2,None_lag1,0.9246991776759361
D2_lag2,D2_lag1,0.9665938399768692
D3_lag2,D3_lag1,0.9520309690464477
D4_lag2,D4_lag1,0.9384649620761049
week_sin,T2M_lag8,0.9173917226384719
week_cos,T2M,0.9041604361306993
