rank,feature,permutation_importance
1,D3_lag1,0.21358178382391613
2,D2_lag1,0.11088766571990916
3,D1_lag1,0.1037173136481252
4,None_lag1,0.07380837204850754
5,D3_lag2,0.07157320796134814
6,PREC_lag1,0.01244699418596884
7,D0_lag1,0.011309499974581305
8,None_lag2,0.008797923418727205
9,WS2M,0.003826172737959155
10,week_cos,0.002903257528448
11,T2M_lag4,0.0027532662803204655
12,T2M_roll12_mean,0.0012155769976085473
13,T2M_lag1,0.0011218444889109502
14,week_sin,0.0008454382086131584
15,T2M_roll4_mean,0.0006316429191994821
16,PREC_lag4,0.0005743006790330796
17,PREC_lag8,0.0005556196475869912
18,D4_lag1,0.0
19,D4_lag2,0.0
20,T2M_lag2,-0.0013500164054175423
21,RH2M_lag8,-0.0022729338602215376
22,D2_lag2,-0.0023026199334572617
23,ALLSKY_SFC_SW_DWN,-0.0023462127659480414
24,D0_lag2,-0.0023676132676192507
25,PS,-0.0025110789034230585
26,RH2M_lag1,-0.0025661482625759513
27,T2M_lag8,-0.0027487851938577945
28,RH2M_lag4,-0.00283824791055709
29,D1_lag2,-0.0030001363774797563
30,RH2M_lag2,-0.00320613655350499
31,PREC_roll4_std,-0.00320613655350499
32,PREC_roll4_mean,-0.004272547628123791
33,PREC_roll12_mean,-0.00436828075651341
34,PREC_roll12_std,-0.004616294928406095
35,PRECTOTCORR,-0.004881772477058344
36,T2M,-0.0054433800331525894
37,RH2M,-0.005821558250518666
38,PREC_lag2,-0.00816773662198167
