rank,feature,mutual_information_score
1,D0_lag1,0.5885773440850113
2,None_lag1,0.5832993095950483
3,PREC_roll12_std,0.554755102417704
4,PS,0.5546076244009157
5,RH2M_lag8,0.553252361989168
6,PREC_roll12_mean,0.5502784540187777
7,RH2M,0.5487267970963972
8,ALLSKY_SFC_SW_DWN,0.5485631711942145
9,RH2M_lag4,0.5475434756188899
10,T2M_lag2,0.5473181620762664
11,T2M_lag4,0.5470093963674851
12,T2M_lag8,0.5469694877801123
13,T2M_roll4_mean,0.5458938880973714
14,PREC_roll4_std,0.5439083383204721
15,T2M_roll12_mean,0.5436979214942794
16,T2M,0.542657967594691
17,RH2M_lag2,0.5425187065250243
18,T2M_lag1,0.5423055979686051
19,PREC_roll4_mean,0.5418082388043366
20,RH2M_lag1,0.5391274717117052
21,WS2M,0.5390795251393548
22,PREC_lag2,0.5374587748920798
23,PREC_lag8,0.5366869444749747
24,PREC_lag4,0.5347885962198073
25,PREC_lag1,0.5333086897387207
26,PRECTOTCORR,0.5315536767754891
27,None_lag2,0.5220568291009291
28,D1_lag1,0.5137017227299912
29,D0_lag2,0.5093208475234245
30,D1_lag2,0.4721245149107587
31,D2_lag1,0.41139562974031474
32,D2_lag2,0.3856850771123761
33,D3_lag1,0.33109260563102816
34,D3_lag2,0.31179783574267006
35,D4_lag2,0.20556662154321192
36,D4_lag1,0.2051119227413929
37,week_cos,0.03272118328853946
38,week_sin,0.007528890350784412
