rank,feature,mi_score,max_abs_corr_prev,max_corr_prev_feat
1,None_lag1,0.5850754484799308,0.0,
2,RH2M_lag8,0.5535106012516269,0.31956780845165916,None_lag1
3,T2M_lag8,0.5533855130932341,0.48225842591451806,RH2M_lag8
4,ALLSKY_SFC_SW_DWN,0.5526100898408095,0.15996965405530866,T2M_lag8
5,PREC_roll12_std,0.5526019099129036,0.5118455017472201,ALLSKY_SFC_SW_DWN
6,T2M_lag1,0.5525312086730001,0.7743487735822914,ALLSKY_SFC_SW_DWN
7,RH2M_lag4,0.5497876336058087,0.4677009698353146,RH2M_lag8
8,T2M_lag4,0.5482046579777125,0.8614603587932369,T2M_lag1
9,PS,0.5473363416682389,0.24804783261701946,ALLSKY_SFC_SW_DWN
10,PREC_roll4_mean,0.5457276676058143,0.734139666394993,PREC_roll12_std
11,heat_dry_stress,0.5451297073063459,0.8840332172614662,T2M_lag1
12,RH2M_lag1,0.5444738310331942,0.5188900148932357,heat_dry_stress
13,RH2M_lag2,0.5441587876996741,0.6670995241234825,RH2M_lag1
14,PREC_roll12_mean,0.5431062985704949,0.8622797910082666,PREC_roll12_std
15,PREC_lag2,0.5422345365245211,0.7066523786689499,PREC_roll4_mean
