,D0_lag1,PREC_roll12_std,PS,RH2M_lag8,PREC_roll12_mean,RH2M,ALLSKY_SFC_SW_DWN,RH2M_lag4,T2M_lag2,T2M_lag4,T2M_lag8,PREC_roll4_std,T2M,RH2M_lag2,PREC_roll4_mean,RH2M_lag1,WS2M,PREC_lag2,PREC_lag8,PREC_lag4
D0_lag1,1.0,0.314586248620701,0.0462230870339082,0.31956780845165933,0.30731337533860187,0.24055283837186892,0.04516177502064214,0.32192684314622433,0.054108712155061515,0.05138153111449392,0.04208888505755108,0.2170893644987928,0.06490900939866812,0.30492157960512956,0.2285718718498382,0.26204096124805376,0.07283548677546858,0.16140390879452082,0.1924388397543073,0.1882497238353941
PREC_roll12_std,0.314586248620701,1.0,0.06597594230128448,0.05826951056783098,0.8622797910082666,0.00804663682766236,0.5118455017472201,0.011841947126174148,0.6091824867273137,0.5862746963392504,0.4645682962130276,0.6813760614214386,0.5873490499374615,0.018229898596025453,0.734139666394993,0.029882819685949035,0.4657258983323933,0.5080439007618887,0.5012975579154789,0.5330421090437649
PS,0.0462230870339082,0.06597594230128448,1.0,0.02824164233885851,0.0471298016659808,0.046824609921406794,0.24804783261701946,0.006347302323660791,0.13856329316662977,0.05665688653435562,0.09910800180664565,0.1514920909950052,0.28055790505996886,0.12468858800878996,0.16403211001038104,0.07556230229910135,0.24996519716632784,0.06255610688286994,0.027004298735348164,0.15003297953336214
RH2M_lag8,0.31956780845165933,0.05826951056783098,0.02824164233885851,1.0,0.05298251184675141,0.30364671871225823,0.05979423537461617,0.4677009698353146,0.278644187420633,0.34420943931655124,0.48225842591451806,0.12689312176445633,0.21918093549017098,0.38521276976035135,0.08502239992003041,0.36268726442007165,0.18211111519105697,0.07594171721605336,0.25892391161384853,0.07796043219122128
PREC_roll12_mean,0.30731337533860187,0.8622797910082666,0.0471298016659808,0.05298251184675141,1.0,0.07954767247507652,0.5620951164320148,0.04717349172376852,0.7837864864284735,0.7852508314991821,0.6569978390472461,0.5617183773919655,0.7333872533132757,0.035213709729399446,0.7723781569627521,0.032771235531776736,0.5605461542560222,0.5271731909577606,0.6103319600833925,0.5867381507768464
RH2M,0.24055283837186892,0.00804663682766236,0.046824609921406794,0.30364671871225823,0.07954767247507652,1.0,0.515916330828616,0.4653702473015779,0.41496585490060656,0.39183845138586043,0.2456565263637603,0.006128589870445556,0.47156466378597645,0.5512889772048803,0.030667191029167103,0.6672954677016912,0.008440672860370233,0.040601075628285535,0.07502623638813745,0.044247381086000064
ALLSKY_SFC_SW_DWN,0.04516177502064214,0.5118455017472201,0.24804783261701946,0.05979423537461617,0.5620951164320148,0.515916330828616,1.0,0.23509555834198886,0.7091393789051278,0.5639789565912476,0.15996965405530866,0.4872966303657888,0.8660101989485788,0.2875515553748285,0.6671769473689547,0.335770077502514,0.3272056662000292,0.4936071507848739,0.2841229436170659,0.4212647862150699
RH2M_lag4,0.32192684314622433,0.011841947126174148,0.006347302323660791,0.4677009698353146,0.04717349172376852,0.4653702473015779,0.23509555834198886,1.0,0.38833893736000646,0.47248887850745586,0.3965655784419041,0.017143350881763993,0.3355697404270317,0.5497869374908428,0.008773833453082136,0.5021113700280861,0.14011664753947703,0.09535498310231802,0.04743544186429296,0.2716094608121934
T2M_lag2,0.054108712155061515,0.6091824867273137,0.13856329316662977,0.278644187420633,0.7837864864284735,0.41496585490060656,0.7091393789051278,0.38833893736000646,1.0,0.8957564483598794,0.6813787430213543,0.43289272406113505,0.8954080707666643,0.47158790839748727,0.6335823925160872,0.44338317152849926,0.5188459953159408,0.40766437030466,0.4745168289408953,0.47728808281548585
T2M_lag4,0.05138153111449392,0.5862746963392504,0.05665688653435562,0.34420943931655124,0.7852508314991821,0.39183845138586043,0.5639789565912476,0.47248887850745586,0.8957564483598794,1.0,0.8118221258816992,0.37218950189675987,0.8106412498538393,0.41412606509645483,0.566556881116638,0.4190226921086324,0.5279943213763171,0.3964088355214643,0.4842679547429994,0.40723078096110094
T2M_lag8,0.04208888505755108,0.4645682962130276,0.09910800180664565,0.48225842591451806,0.6569978390472461,0.2456565263637603,0.15996965405530866,0.3965655784419041,0.6813787430213543,0.8118221258816992,1.0,0.23208839953753158,0.518147568287319,0.328388063069554,0.3419585018926108,0.29070721814908446,0.48927794600756236,0.21521103764898175,0.4100979795287369,0.308724347610759
PREC_roll4_std,0.2170893644987928,0.6813760614214386,0.1514920909950052,0.12689312176445633,0.5617183773919655,0.006128589870445556,0.4872966303657888,0.017143350881763993,0.43289272406113505,0.37218950189675987,0.23208839953753158,1.0,0.46722209401200654,0.06266446859433375,0.8256065609449142,0.08573485976052753,0.29368451907113297,0.5690727793449625,0.1820539121872205,0.5891442769105841
T2M,0.06490900939866812,0.5873490499374615,0.28055790505996886,0.21918093549017098,0.7333872533132757,0.47156466378597645,0.8660101989485788,0.3355697404270317,0.8954080707666643,0.8106412498538393,0.518147568287319,0.46722209401200654,1.0,0.3864537512349973,0.6759583047202201,0.4174358717900112,0.47703889987695774,0.47793852244543983,0.4212653878053673,0.4821283200706591
RH2M_lag2,0.30492157960512956,0.018229898596025453,0.12468858800878996,0.38521276976035135,0.035213709729399446,0.5512889772048803,0.2875515553748285,0.5497869374908428,0.47158790839748727,0.41412606509645483,0.328388063069554,0.06266446859433375,0.3864537512349973,1.0,0.07348086789788291,0.6670995241234825,0.10572864333398478,0.27094054017815583,0.048944579415472596,0.03846441419525583
PREC_roll4_mean,0.2285718718498382,0.734139666394993,0.16403211001038104,0.08502239992003041,0.7723781569627521,0.030667191029167103,0.6671769473689547,0.008773833453082136,0.6335823925160872,0.566556881116638,0.3419585018926108,0.8256065609449142,0.6759583047202201,0.07348086789788291,1.0,0.08282964349979689,0.3978463746575096,0.7066523786689499,0.34448267685948003,0.6887435191907955
RH2M_lag1,0.26204096124805376,0.029882819685949035,0.07556230229910135,0.36268726442007165,0.032771235531776736,0.6672954677016912,0.335770077502514,0.5021113700280861,0.44338317152849926,0.4190226921086324,0.29070721814908446,0.08573485976052753,0.4174358717900112,0.6670995241234825,0.08282964349979689,1.0,0.0662656992322092,0.043924806750648034,0.04204684843967877,0.04961764889076798
WS2M,0.07283548677546858,0.4657258983323933,0.24996519716632784,0.18211111519105697,0.5605461542560222,0.008440672860370233,0.3272056662000292,0.14011664753947703,0.5188459953159408,0.5279943213763171,0.48927794600756236,0.29368451907113297,0.47703889987695774,0.10572864333398478,0.3978463746575096,0.0662656992322092,1.0,0.276121400875402,0.33951817573440024,0.2896621001594419
PREC_lag2,0.16140390879452082,0.5080439007618887,0.06255610688286994,0.07594171721605336,0.5271731909577606,0.040601075628285535,0.4936071507848739,0.09535498310231802,0.40766437030466,0.3964088355214643,0.21521103764898175,0.5690727793449625,0.47793852244543983,0.27094054017815583,0.7066523786689499,0.043924806750648034,0.276121400875402,1.0,0.21625187932734585,0.29422751650437023
PREC_lag8,0.1924388397543073,0.5012975579154789,0.027004298735348164,0.25892391161384853,0.6103319600833925,0.07502623638813745,0.2841229436170659,0.04743544186429296,0.4745168289408953,0.4842679547429994,0.4100979795287369,0.1820539121872205,0.4212653878053673,0.048944579415472596,0.34448267685948003,0.04204684843967877,0.33951817573440024,0.21625187932734585,1.0,0.30285727219237446
PREC_lag4,0.1882497238353941,0.5330421090437649,0.15003297953336214,0.07796043219122128,0.5867381507768464,0.044247381086000064,0.4212647862150699,0.2716094608121934,0.47728808281548585,0.40723078096110094,0.308724347610759,0.5891442769105841,0.4821283200706591,0.03846441419525583,0.6887435191907955,0.04961764889076798,0.2896621001594419,0.29422751650437023,0.30285727219237446,1.0
