rank,feature,mi_score,max_abs_corr_prev,max_corr_prev_feat
1,D0_lag1,0.5885773440850113,0.0,
2,PREC_roll12_std,0.554755102417704,0.314586248620701,D0_lag1
3,PS,0.5546076244009157,0.06597594230128448,PREC_roll12_std
4,RH2M_lag8,0.553252361989168,0.31956780845165933,D0_lag1
5,PREC_roll12_mean,0.5502784540187777,0.8622797910082666,PREC_roll12_std
6,RH2M,0.5487267970963972,0.30364671871225823,RH2M_lag8
7,ALLSKY_SFC_SW_DWN,0.5485631711942145,0.5620951164320148,PREC_roll12_mean
8,RH2M_lag4,0.5475434756188899,0.4677009698353146,RH2M_lag8
9,T2M_lag2,0.5473181620762664,0.7837864864284735,PREC_roll12_mean
10,T2M_lag4,0.5470093963674851,0.8957564483598794,T2M_lag2
11,T2M_lag8,0.5469694877801123,0.8118221258816992,T2M_lag4
12,PREC_roll4_std,0.5439083383204721,0.6813760614214386,PREC_roll12_std
13,T2M,0.542657967594691,0.8954080707666643,T2M_lag2
14,RH2M_lag2,0.5425187065250243,0.5512889772048803,RH2M
15,PREC_roll4_mean,0.5418082388043366,0.8256065609449142,PREC_roll4_std
16,RH2M_lag1,0.5391274717117052,0.6672954677016912,RH2M
17,WS2M,0.5390795251393548,0.5605461542560222,PREC_roll12_mean
18,PREC_lag2,0.5374587748920798,0.7066523786689499,PREC_roll4_mean
19,PREC_lag8,0.5366869444749747,0.6103319600833925,PREC_roll12_mean
20,PREC_lag4,0.5347885962198073,0.6887435191907955,PREC_roll4_mean
