,None_lag1,RH2M_lag8,T2M_lag8,ALLSKY_SFC_SW_DWN,PREC_roll12_std,T2M_lag1,RH2M_lag4,T2M_lag4,PS,PREC_roll4_mean,heat_dry_stress,RH2M_lag1,RH2M_lag2,PREC_roll12_mean,PREC_lag2,PREC_roll4_std,RH2M,PREC_lag8,WS2M,PRECTOTCORR,PREC_lag1,PREC_lag4,D1_lag1,D2_lag1,D3_lag1
None_lag1,1.0,0.31956780845165916,0.04208888505755111,0.04516177502064205,0.31458624862070117,0.06119675686760528,0.3219268431462241,0.051381531114494,0.04622308703390822,0.2285718718498383,0.023927990914378982,0.2620409612480537,0.30492157960513,0.307313375338602,0.16140390879452102,0.21708936449879288,0.24055283837186903,0.19243883975430698,0.07283548677546864,0.0989432859137657,0.10847283733848155,0.18824972383539404,0.7090673671873384,0.5321560238633296,0.45051692260997855
RH2M_lag8,0.31956780845165916,1.0,0.48225842591451806,0.05979423537461617,0.05826951056783098,0.2579281346811316,0.4677009698353146,0.34420943931655124,0.02824164233885851,0.08502239992003041,0.27443520974187924,0.36268726442007165,0.38521276976035135,0.05298251184675141,0.07594171721605336,0.12689312176445633,0.30364671871225823,0.25892391161384853,0.18211111519105697,0.03122502498897035,0.013998978427369252,0.07796043219122128,0.3528058124755387,0.32736151911201106,0.30888423437519
T2M_lag8,0.04208888505755111,0.48225842591451806,1.0,0.15996965405530866,0.4645682962130276,0.6060414461245556,0.3965655784419041,0.8118221258816992,0.09910800180664565,0.3419585018926108,0.5087318984026498,0.29070721814908446,0.328388063069554,0.6569978390472461,0.21521103764898175,0.23208839953753158,0.2456565263637603,0.4100979795287369,0.48927794600756236,0.10612306340417348,0.15463896320518453,0.308724347610759,0.0381252801686782,0.04188218207920944,0.02045245533120957
ALLSKY_SFC_SW_DWN,0.04516177502064205,0.05979423537461617,0.15996965405530866,1.0,0.5118455017472201,0.7743487735822914,0.23509555834198886,0.5639789565912476,0.24804783261701946,0.6671769473689547,0.8429452500312566,0.335770077502514,0.2875515553748285,0.5620951164320148,0.4936071507848739,0.4872966303657888,0.515916330828616,0.2841229436170659,0.3272056662000292,0.31254331835887317,0.4841780351096324,0.4212647862150699,0.010691890782143741,0.012337565779115904,0.07383970725292577
PREC_roll12_std,0.31458624862070117,0.05826951056783098,0.4645682962130276,0.5118455017472201,1.0,0.5966366928791217,0.011841947126174148,0.5862746963392504,0.06597594230128448,0.734139666394993,0.4800934941408549,0.029882819685949035,0.018229898596025453,0.8622797910082666,0.5080439007618887,0.6813760614214386,0.00804663682766236,0.5012975579154789,0.4657258983323933,0.31983447567788537,0.4904285560733729,0.5330421090437649,0.2488508495231743,0.2513816411345945,0.26739478949660805
T2M_lag1,0.06119675686760528,0.2579281346811316,0.6060414461245556,0.7743487735822914,0.5966366928791217,1.0,0.36010092820060957,0.8614603587932369,0.18657183730524424,0.6489647391991339,0.8840332169867224,0.47200109456479966,0.4167725585305064,0.7597583774336352,0.4414768723343295,0.44704267673297976,0.44277573994546265,0.4584587061809219,0.4788923558066054,0.44296368437895706,0.40352224147803223,0.4883709053524935,0.025703096904275854,0.0035261009352545343,0.06205943214016999
RH2M_lag4,0.3219268431462241,0.4677009698353146,0.3965655784419041,0.23509555834198886,0.011841947126174148,0.36010092820060957,1.0,0.47248887850745586,0.006347302323660791,0.008773833453082136,0.4071572744867679,0.5021113700280861,0.5497869374908428,0.04717349172376852,0.09535498310231802,0.017143350881763993,0.4653702473015779,0.04743544186429296,0.14011664753947703,0.0687939097856892,0.07335293760501972,0.2716094608121934,0.3285629595176036,0.3024528507882672,0.27026785688507254
T2M_lag4,0.051381531114494,0.34420943931655124,0.8118221258816992,0.5639789565912476,0.5862746963392504,0.8614603587932369,0.47248887850745586,1.0,0.05665688653435562,0.566556881116638,0.7734630626063393,0.4190226921086324,0.41412606509645483,0.7852508314991821,0.3964088355214643,0.37218950189675987,0.39183845138586043,0.4842679547429994,0.5279943213763171,0.3049642984395204,0.3322528955396821,0.40723078096110094,0.03729937063028522,0.02190292175325778,0.029474553895843317
PS,0.04622308703390822,0.02824164233885851,0.09910800180664565,0.24804783261701946,0.06597594230128448,0.18657183730524424,0.006347302323660791,0.05665688653435562,1.0,0.16403211001038104,0.22543542874900976,0.07556230229910135,0.12468858800878996,0.0471298016659808,0.06255610688286994,0.1514920909950052,0.046824609921406794,0.027004298735348164,0.24996519716632784,0.34628827345616875,0.16791644178608034,0.15003297953336214,0.010781492545277716,0.022311436130544673,0.033110759843591665
PREC_roll4_mean,0.2285718718498383,0.08502239992003041,0.3419585018926108,0.6671769473689547,0.734139666394993,0.6489647391991339,0.008773833453082136,0.566556881116638,0.16403211001038104,1.0,0.5326203410238385,0.08282964349979689,0.07348086789788291,0.7723781569627521,0.7066523786689499,0.8256065609449142,0.030667191029167103,0.34448267685948003,0.3978463746575096,0.4368227913999068,0.6873656497714861,0.6887435191907955,0.14571653091922562,0.15851976035483445,0.18941984457499284
