rank,feature,mutual_information_score
1,None_lag1,0.5850754484799308
2,D0_lag1,0.584805942733083
3,RH2M_lag8,0.5535106012516271
4,T2M_lag8,0.5533855130932339
5,ALLSKY_SFC_SW_DWN,0.5526100898408095
6,PREC_roll12_std,0.5526019099129038
7,T2M_lag1,0.5525312086730003
8,RH2M_lag4,0.5497876336058087
9,T2M_roll12_mean,0.5491281131472665
10,T2M_lag4,0.5482046579777127
11,PS,0.5473363416682389
12,T2M,0.5462547805128277
13,T2M_lag2,0.5459489560401156
14,PREC_roll4_mean,0.5457276676058143
15,T2M_roll4_mean,0.5453689946867857
16,heat_dry_stress,0.5451297073063461
17,RH2M_lag1,0.5444738310331942
18,RH2M_lag2,0.5441587876996741
19,PREC_roll12_mean,0.5431062985704949
20,PREC_lag2,0.5422345365245211
21,PREC_roll4_std,0.5420673939871496
22,RH2M,0.5414877420265245
23,PREC_lag8,0.5385014037952909
24,WS2M,0.5340384157336189
25,PRECTOTCORR,0.5332765456717923
26,PREC_lag1,0.5328913538298579
27,PREC_lag4,0.5324189841141702
28,D1_lag1,0.5191101694136993
29,D0_lag2,0.5148658739000083
30,None_lag2,0.5124513564604305
31,D1_lag2,0.47080900254501756
32,D2_lag1,0.40071079574375035
33,D2_lag2,0.3889448876097652
34,D3_lag1,0.328106224387015
35,D3_lag2,0.3188829887707849
36,D4_lag1,0.208348149073611
37,D4_lag2,0.20075690055771522
38,week_cos,0.025930564651671872
39,week_sin,0.010642578125457103
