feature_dropped,feature_kept,abs_correlation
D0_lag1,None_lag1,1.0
T2M_roll12_mean,T2M_lag8,0.9490778883026331
T2M,T2M_lag1,0.9353846158616199
T2M_lag2,T2M_lag1,0.9354877204300868
T2M_roll4_mean,T2M_lag1,0.955939152071026
D0_lag2,None_lag1,0.9392588825368917
None_lag2,None_lag1,0.9392588825368917
D1_lag2,D1_lag1,0.9662567507591208
D2_lag2,D2_lag1,0.9802966759933543
D3_lag2,D3_lag1,0.9813766593168101
D4_lag2,D4_lag1,0.9688291154442
week_cos,ALLSKY_SFC_SW_DWN,0.9417781973813488
week_sin,T2M_lag8,0.9171253331284657
