rank,feature,mi_score,max_abs_corr_prev,max_corr_prev_feat
1,None_lag1,0.5850754484799308,0.0,
2,RH2M_lag8,0.5535106012516271,0.31956780845165916,None_lag1
3,T2M_lag8,0.5533855130932339,0.48225842591451806,RH2M_lag8
4,ALLSKY_SFC_SW_DWN,0.5526100898408095,0.15996965405530866,T2M_lag8
5,PREC_roll12_std,0.5526019099129038,0.5118455017472201,ALLSKY_SFC_SW_DWN
6,T2M_lag1,0.5525312086730003,0.7743487735822914,ALLSKY_SFC_SW_DWN
7,RH2M_lag4,0.5497876336058087,0.4677009698353146,RH2M_lag8
8,T2M_lag4,0.5482046579777127,0.8614603587932369,T2M_lag1
9,PS,0.5473363416682389,0.24804783261701946,ALLSKY_SFC_SW_DWN
10,PREC_roll4_mean,0.5457276676058143,0.734139666394993,PREC_roll12_std
13,RH2M_lag2,0.5441587876996741,0.6670995241234825,RH2M_lag1
14,PREC_roll12_mean,0.5431062985704949,0.8622797910082666,PREC_roll12_std
15,PREC_lag2,0.5422345365245211,0.7066523786689499,PREC_roll4_mean
16,PREC_roll4_std,0.5420673939871496,0.8256065609449142,PREC_roll4_mean
17,RH2M,0.5414877420265245,0.6672954677016912,RH2M_lag1
18,PREC_lag8,0.5385014037952909,0.6103319600833925,PREC_roll12_mean
19,WS2M,0.5340384157336189,0.5605461542560222,PREC_roll12_mean
20,PRECTOTCORR,0.5332765456717923,0.44296368437895706,T2M_lag1
21,PREC_lag1,0.5328913538298579,0.6873656497714861,PREC_roll4_mean
22,PREC_lag4,0.5324189841141702,0.6887435191907955,PREC_roll4_mean
23,D1_lag1,0.5191101694136993,0.7090673671873384,None_lag1
24,D2_lag1,0.40071079574375035,0.8021869201923891,D1_lag1
25,D3_lag1,0.328106224387015,0.8773881304785982,D2_lag1
26,D4_lag1,0.208348149073611,0.7310293239889777,D3_lag1
