rank,feature,permutation_importance
1,D3_lag1,0.15633622162065597
2,D1_lag1,0.11595905043384802
3,D2_lag1,0.08862435358649956
4,None_lag1,0.08604298812773437
5,D1_lag2,0.02705722372265762
6,D0_lag1,0.01759860102675248
7,D0_lag2,0.007134086766551584
8,D2_lag2,0.007009499374860617
9,D3_lag2,0.004424120183731062
10,PREC_roll4_mean,0.0020387879067648162
11,None_lag2,0.0016658681131934694
12,PREC_roll12_mean,0.0006841250970680557
13,PREC_roll12_std,0.0005781185407907063
14,PREC_lag2,0.00047658620166590726
15,PREC_lag8,0.00025023130654056036
16,D4_lag1,0.0
17,D4_lag2,0.0
18,RH2M_lag2,-0.00011960342808314817
19,week_sin,-0.0006816725998762818
20,PRECTOTCORR,-0.0008328943299321656
21,T2M_lag2,-0.0013591420371504848
22,RH2M,-0.0015215601953378899
23,PS,-0.001603790380964698
24,ALLSKY_SFC_SW_DWN,-0.002964157681610735
25,T2M_lag4,-0.0030086547814575093
26,T2M_roll4_mean,-0.0031481752914933603
27,RH2M_lag4,-0.0034109360357021945
28,WS2M,-0.003596193823235505
29,PREC_lag1,-0.003620303023656901
30,RH2M_lag8,-0.0036438161429839244
31,PREC_roll4_std,-0.003977539235449856
32,PREC_lag4,-0.004516419950585382
33,T2M_lag1,-0.005302304276514458
34,T2M,-0.005349234160967442
35,T2M_roll12_mean,-0.007593167633433318
36,week_cos,-0.00782967457983319
38,T2M_lag8,-0.00859183348417647
39,RH2M_lag1,-0.010554821793156144
