county,mean_d0_plus,median_d0_plus,pct_weeks_d0_plus_gt_0,pct_weeks_d0_plus_eq_100
Allen County,49.49,29.83,55.38,43.78
Anderson County,49.26,47.3,54.67,41.39
Atchison County,43.94,5.87,52.27,35.89
Barber County,58.34,97.04,69.5,48.8
Barton County,67.54,100.0,75.6,55.26
Bourbon County,46.71,22.8,52.75,38.16
Brown County,40.53,1.64,52.87,31.58
Butler County,52.92,73.22,62.92,43.18
Chase County,53.93,78.62,61.24,45.69
Chautauqua County,55.59,99.88,62.32,49.04
Cherokee County,46.74,26.36,55.86,39.11
Cheyenne County,60.69,98.53,70.57,48.21
Clark County,63.81,100.0,72.85,52.75
Clay County,55.21,91.55,60.89,44.74
Cloud County,55.55,83.7,64.0,46.17
Coffey County,52.5,74.61,57.89,43.54
Comanche County,62.48,100.0,70.69,51.67
Cowley County,56.19,87.11,65.43,47.01
Crawford County,47.36,14.87,54.9,39.11
Decatur County,66.53,100.0,73.33,55.62
