county,mean_d0_plus,median_d0_plus,pct_weeks_d0_plus_gt_0,pct_weeks_d0_plus_eq_100
Adams County,59.93,92.18,69.38,44.5
Antelope County,46.31,13.86,54.9,41.99
Arthur County,49.49,60.38,55.38,39.83
Banner County,47.96,9.26,54.43,43.78
Blaine County,42.68,0.0,49.4,37.8
Boone County,48.23,37.12,57.66,42.11
Box Butte County,50.73,59.98,60.29,41.51
Boyd County,44.76,8.09,51.32,38.64
Brown County,41.38,0.13,51.2,32.18
Buffalo County,54.65,84.22,63.28,41.39
Burt County,42.16,0.0,49.16,38.28
Butler County,46.3,15.31,54.43,38.76
Cass County,41.23,0.0,46.89,34.57
Cedar County,50.25,39.26,57.54,43.3
Chase County,53.99,64.68,66.27,39.71
Cherry County,42.82,25.75,57.54,28.71
Cheyenne County,52.99,69.19,62.92,40.19
Clay County,60.11,98.33,65.91,47.13
Colfax County,45.86,9.95,52.87,40.67
Cuming County,45.75,0.53,51.08,42.22
